"filename", "language", "Markdown", "JSON", "Ignore", "PlantUML", "YAML", "PowerShell", "Docker", "Shell Script", "JavaScript", "Properties", "TypeScript", "pip requirements", "JSON with Comments", "TypeScript JSX", "HTML", "Python", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\ignas\Training_Plans\backend\app\tests\test_calendar_filters.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 24, 99
"c:\Users\ignas\Training_Plans\backend\app\tests\test_compliance.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 10, 40
"c:\Users\ignas\Training_Plans\backend\app\tests\test_compliance_extended.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 54, 135, 472
"c:\Users\ignas\Training_Plans\backend\app\tests\test_integration_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 21, 55, 234
"c:\Users\ignas\Training_Plans\backend\app\tests\test_integrations_backend.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 4, 92, 388
"c:\Users\ignas\Training_Plans\backend\app\tests\test_organization_chat.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 15, 67
"c:\Users\ignas\Training_Plans\backend\app\tests\test_permissions_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 16, 76, 296
"c:\Users\ignas\Training_Plans\backend\app\tests\test_personal_records.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 0, 0, 28, 91, 370
"c:\Users\ignas\Training_Plans\backend\app\tests\test_season_planner.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 30, 166
"c:\Users\ignas\Training_Plans\backend\app\tests\test_support_requests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 20, 100
"c:\Users\ignas\Training_Plans\backend\app\tests\test_users_helpers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 9, 72
"c:\Users\ignas\Training_Plans\backend\app\wait_for_db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 9, 33
"c:\Users\ignas\Training_Plans\backend\app\workout_templates.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 332, 0, 0, 6, 4, 342
"c:\Users\ignas\Training_Plans\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ignas\Training_Plans\deployment\hetzner\bootstrap-ubuntu.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 47
"c:\Users\ignas\Training_Plans\deployment\hetzner\cloud-init.yaml", "YAML", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 49
"c:\Users\ignas\Training_Plans\deployment\hetzner\deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 47
"c:\Users\ignas\Training_Plans\deployment\nginx\edge.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 67
"c:\Users\ignas\Training_Plans\docker-compose.prod.yml", "YAML", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 119
"c:\Users\ignas\Training_Plans\docker-compose.yml", "YAML", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 96
